Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2016-09-01,3420,3420,3390,3390,81398,ACB,0.0,0.0,0.0
2016-09-05,3390,3390,3360,3390,78738,ACB,0.0,0.0,0.0
2016-09-06,3390,3390,3390,3390,100607,ACB,0.0,0.0,0.0
2016-09-07,3390,3390,3360,3390,37441,ACB,0.0,0.0,0.0
2016-09-08,3360,3390,3340,3390,38923,ACB,0.0,0.0,0.0
2016-09-09,3280,3390,3280,3360,9453,ACB,-0.008849557522123908,0.0,0.0
2016-09-12,3340,3340,3300,3340,137291,ACB,-0.005952380952380931,0.0,0.0
2016-09-13,3320,3340,3300,3320,76695,ACB,-0.005988023952095856,0.0,0.0
2016-09-14,3320,3320,3280,3300,151529,ACB,-0.0060240963855421326,0.0,0.0
2016-09-15,3280,3300,3250,3280,160591,ACB,-0.0060606060606061,0.0,0.0
2016-09-16,3250,3280,3230,3280,120039,ACB,0.0,0.0,0.0
2016-09-19,3260,3280,3250,3250,39590,ACB,-0.009146341463414642,0.0,0.0
2016-09-20,3250,3280,3230,3250,117888,ACB,0.0,0.0,0.0
2016-09-21,3250,3360,3250,3300,181530,ACB,0.01538461538461533,0.0,0.0
2016-09-22,3320,3320,3280,3280,52251,ACB,-0.0060606060606061,0.0,0.0
2016-09-23,3260,3300,3260,3300,54315,ACB,0.0060975609756097615,0.0,0.0
2016-09-26,3300,3300,3260,3260,55181,ACB,-0.012121212121212088,0.0,0.0
2016-09-27,3250,3300,3250,3280,112486,ACB,0.006134969325153339,0.0,0.0
2016-09-28,3260,3450,3260,3450,960835,ACB,0.05182926829268286,0.0,0.0
2016-09-29,3470,3490,3450,3470,413417,ACB,0.005797101449275255,0.0,0.0
2016-09-30,3470,3490,3440,3470,281903,ACB,0.0,3477.7676013910555,3197.2323986089445
2016-10-03,3490,3660,3470,3530,584999,ACB,0.01729106628242083,3506.792945009942,3182.207054990058
2016-10-04,3530,3690,3530,3630,728172,ACB,0.028328611898017053,3560.5857662846674,3152.4142337153326
2016-10-05,3630,3740,3630,3700,650032,ACB,0.019283746556473913,3625.108672312902,3118.891327687098
2016-10-06,3720,3720,3650,3700,445683,ACB,0.0,3678.2834245619924,3096.7165754380076
2016-10-07,3660,3690,3550,3600,474856,ACB,-0.027027027027026973,3704.227747341787,3094.772252658213
