Time,Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
2016-09-26,11591,11591,11404,11498,40290,VNG,0.0,0.0,0.0
2016-09-27,11218,11404,11218,11218,22440,VNG,-0.02435206122803968,0.0,0.0
2016-09-28,11965,11965,11685,11778,37330,VNG,0.04991977179532903,0.0,0.0
2016-09-29,12152,12152,11218,11498,30960,VNG,-0.023773136355917823,0.0,0.0
2016-09-30,10937,11591,10844,11498,34400,VNG,0.0,0.0,0.0
2016-10-03,12152,12152,11498,11685,36030,VNG,0.016263698034440832,0.0,0.0
2016-10-04,11218,11591,11218,11591,1050,VNG,-0.008044501497646572,0.0,0.0
2016-10-05,11778,11778,11218,11404,40900,VNG,-0.01613320679837804,0.0,0.0
2016-10-06,11031,11124,11031,11124,10800,VNG,-0.024552788495264766,0.0,0.0
2016-10-07,11498,11498,11124,11218,26010,VNG,0.008450197770586199,0.0,0.0
2016-10-10,11218,11218,10937,11218,4870,VNG,0.0,0.0,0.0
2016-10-11,11591,11591,10563,11124,53270,VNG,-0.008379390265644493,0.0,0.0
2016-10-12,10844,10937,10750,10750,710,VNG,-0.03362099964041709,0.0,0.0
2016-10-13,11031,11031,10423,10750,590,VNG,0.0,0.0,0.0
2016-10-14,10563,10984,10283,10376,25270,VNG,-0.03479069767441856,0.0,0.0
2016-10-17,10750,11077,10750,10750,4110,VNG,0.036044718581341506,0.0,0.0
2016-10-18,10283,10283,10283,10283,15190,VNG,-0.04344186046511633,0.0,0.0
2016-10-19,10096,10096,10096,10096,10510,VNG,-0.018185354468540305,0.0,0.0
2016-10-20,10189,10189,10189,10189,10,VNG,0.009211568938193304,0.0,0.0
2016-10-21,10657,10657,10657,10657,10,VNG,0.045931887329472953,0.0,0.0
2016-10-24,10049,10657,10049,10470,3960,VNG,-0.01754715210659663,12005.179775341932,9962.520224658068
2016-10-25,10002,10470,10002,10470,2530,VNG,0.0,11985.373765249406,9907.526234750596
2016-10-26,9815,9815,9815,9815,15500,VNG,-0.06255969436485198,11924.668728642744,9771.931271357254
2016-10-27,9161,10423,9161,10096,19960,VNG,0.02862964849719818,11858.793651656348,9697.606348343654
2016-10-28,10657,10657,9441,9955,4530,VNG,-0.013965927099841569,11785.385460086036,9616.714539913963
2016-10-31,9441,9815,9348,9769,21640,VNG,-0.018684078352586675,11663.16528488816,9547.33471511184
2016-11-01,10002,10002,9086,9628,15390,VNG,-0.014433411812877495,11545.037358418127,9469.162641581874
2016-11-02,9348,9628,9067,9628,7130,VNG,0.0,11437.83403081996,9398.765969180038
2016-11-03,10096,10189,9441,9628,8120,VNG,0.0,11364.471008403274,9322.528991596726
2016-11-04,9628,9628,9628,9628,0,VNG,0.0,11247.127051809683,9280.872948190317
2016-11-07,9002,9254,9002,9254,1310,VNG,-0.03884503531366845,11140.460269016849,9191.13973098315
2016-11-08,8880,9535,8880,9441,450,VNG,0.020207477847417277,10999.84132537832,9163.45867462168
2016-11-09,9628,9628,9254,9348,12010,VNG,-0.009850651414045175,10929.008113485295,9094.091886514703
2016-11-10,9815,9815,8974,9348,3000,VNG,0.0,10836.475915825904,9046.424084174098
2016-11-11,8880,9320,8880,9320,10350,VNG,-0.002995293110825803,10799.360332652484,8977.939667347515
2016-11-14,8880,9338,8880,9329,2920,VNG,0.0009656652360514606,10668.163201649353,8967.036798350648
2016-11-15,8880,9329,8880,9320,3400,VNG,-0.0009647336263265416,10618.205435917791,8920.69456408221
2016-11-16,8880,9628,8880,8880,22360,VNG,-0.047210300429184504,10626.526086408181,8790.773913591818
2016-11-17,8413,9348,8413,9338,29020,VNG,0.05157657657657655,10569.750131411489,8762.449868588512
